Name of Student,No. of DSA questions,CGPA,Knows ML,Knows DSA,Knows Python,Knows JavaScript,Knows CSS,Was in Coding Club,Age of Candidate,Branch of Engineering,Placement Package
Edward Berry,301,5.92,Yes,No,No,Yes,Yes,Yes,21,Electrical Engineering,21.17
Andrew Russell III,175,3.29,No,No,Yes,Yes,No,Yes,22,Civil Engineering,4.66
Tyler Alexander,170,9.49,No,No,Yes,Yes,No,Yes,18,Civil Engineering,36.69
Timothy Miller,489,3.03,Yes,Yes,Yes,Yes,No,Yes,23,Civil Engineering,12.62
Kayla Booker,225,2.87,,No,Yes,Yes,No,No,22,Mechanical Engineering,2.72
Megan Patterson,64,0.56,Yes,Yes,Yes,No,No,No,25,Electrical Engineering,12.41
Michael Anderson,85,3.98,No,No,No,Yes,No,Yes,20,Mechanical Engineering,3.76
Robert Carey,48,2.08,,No,No,No,Yes,No,19,Civil Engineering,9.34
Melanie Hughes,324,1.43,No,Yes,No,Yes,Yes,No,24,Civil Engineering,6.91
Aaron Moore,117,9.86,Yes,No,Yes,No,No,No,22,Electrical Engineering,52.66
Jerry Delgado,125,5.3,No,No,No,Yes,No,Yes,20,Mechanical Engineering,47.93
Thomas Bell,478,7.19,No,No,Yes,Yes,Yes,Yes,24,Mechanical Engineering,25.56
Sara White,61,7.88,Yes,Yes,No,No,No,No,23,Civil Engineering,52.12
Daniel Smith,327,8.66,Yes,Yes,Yes,No,No,Yes,19,Electrical Engineering,29.4
Heidi Oconnor,398,0.51,Yes,Yes,Yes,Yes,Yes,No,25,Mechanical Engineering,11.07
Anthony Smith,240,2.1,Yes,No,Yes,Yes,Yes,No,25,Civil Engineering,10.69
Kyle Salinas,67,9.92,No,Yes,No,Yes,Yes,No,21,Civil Engineering,21.81
Dorothy Williams,333,6.03,No,Yes,Yes,No,No,No,24,Electrical Engineering,37.46
Deborah Thompson,322,8.17,Yes,No,No,Yes,Yes,No,19,Computer Science,37.72
Dennis Richards,189,5.81,Yes,Yes,Yes,No,Yes,No,24,Mechanical Engineering,39.14
David Thomas,379,2.34,Yes,No,Yes,Yes,Yes,No,25,Mechanical Engineering,9.9
Jerry Farrell,372,8.58,Yes,Yes,No,Yes,Yes,Yes,20,Computer Science,23.62
Kelsey Arroyo,197,2.35,No,Yes,Yes,No,Yes,Yes,24,Mechanical Engineering,6.88
Timothy Ruiz,322,4.28,No,No,Yes,No,No,No,21,Mechanical Engineering,4.03
Angela Hall,63,7.43,Yes,No,No,Yes,Yes,No,25,Civil Engineering,17.49
Lauren Stone,318,4.82,Yes,No,No,No,Yes,Yes,20,Computer Science,8.56
Susan Walsh,315,0.59,No,Yes,Yes,No,No,No,18,Computer Science,6.28
Vincent King,66,7.24,No,Yes,Yes,Yes,Yes,No,25,Mechanical Engineering,29.05
Mary Stuart,433,0.48,No,No,Yes,No,No,Yes,22,Electrical Engineering,3.11
Jasmine Erickson,26,6.88,No,No,Yes,No,Yes,Yes,24,Civil Engineering,13.86
Barbara Bond,309,2.46,No,Yes,Yes,No,Yes,No,23,Computer Science,5.18
Ana Adams,263,3.6,,No,No,Yes,No,No,23,Mechanical Engineering,3.37
Laura Greene,289,3.62,Yes,Yes,No,No,No,Yes,20,Civil Engineering,12.41
Angela Young,453,5.43,Yes,No,No,No,No,No,21,Electrical Engineering,50.69
Barbara Graham,295,9.69,No,Yes,Yes,No,No,Yes,22,Electrical Engineering,23.18
Joseph Lyons,363,1.95,No,No,No,Yes,No,Yes,23,Mechanical Engineering,3.91
Jennifer Freeman,223,7.54,No,No,No,Yes,Yes,No,24,Civil Engineering,13.91
Larry Torres,285,3.57,,No,No,No,Yes,No,19,Mechanical Engineering,10.13
Shawn Burgess,495,7.52,No,Yes,No,Yes,No,No,22,Computer Science,41.33
Andrew Allen,202,8.51,No,Yes,Yes,No,,Yes,20,Computer Science,29.27
Sherri Kent,475,9.59,Yes,No,Yes,Yes,No,Yes,21,Civil Engineering,50.07
Jeffrey Gilbert,444,8.49,Yes,Yes,No,No,Yes,Yes,22,Civil Engineering,15.62
Jared Horton,327,4.83,No,Yes,No,No,No,Yes,25,Computer Science,6.56
David Alexander,12,2.98,No,Yes,No,Yes,No,Yes,22,Computer Science,5.5
Carolyn Buck,326,7.52,No,No,Yes,Yes,No,No,21,Mechanical Engineering,29.25
Paul Larson,77,1.9,Yes,Yes,Yes,No,No,No,19,Computer Science,12.54
Justin Carpenter MD,60,3.6,No,No,No,Yes,Yes,No,18,Electrical Engineering,3.16
Jonathan Harris,345,2.29,No,No,Yes,No,No,Yes,21,Civil Engineering,3.45
Elizabeth Olsen,41,0.21,No,Yes,Yes,No,No,Yes,21,Computer Science,5.59
Andrew Ramirez,279,9.75,No,No,Yes,No,No,No,23,Mechanical Engineering,41.73
Corey Young,293,3.04,No,No,Yes,Yes,No,Yes,22,Computer Science,4.3
William Warner,239,3.89,No,No,Yes,No,Yes,No,22,Civil Engineering,2.77
Charles Johns,46,6.49,Yes,Yes,No,Yes,No,Yes,18,Electrical Engineering,23.76
Walter Roman,222,7.01,Yes,No,No,Yes,Yes,No,25,Electrical Engineering,36.84
Daniel Jackson,39,6.21,Yes,No,Yes,Yes,Yes,No,23,Mechanical Engineering,53.46
Catherine Branch,442,6.6,Yes,No,Yes,Yes,No,Yes,20,Electrical Engineering,55.61
Marcus Doyle,468,4.93,No,No,Yes,Yes,No,No,19,Electrical Engineering,4.33
William Brown,35,7.72,No,Yes,Yes,Yes,Yes,Yes,23,Civil Engineering,26.35
Jennifer Wilson,145,4.53,Yes,No,,No,Yes,Yes,22,Civil Engineering,8.81
Jennifer Blake,50,1.64,Yes,No,Yes,No,Yes,No,21,Civil Engineering,8.8
John Johnson,162,9.11,Yes,Yes,No,No,No,No,20,Electrical Engineering,42.06
Misty Ramirez,125,0.69,Yes,Yes,Yes,Yes,No,Yes,25,Civil Engineering,11.18
Nicholas Johnson,488,2.08,No,Yes,No,No,Yes,Yes,24,Mechanical Engineering,6.16
David Young,210,8.58,Yes,No,Yes,No,Yes,Yes,19,Mechanical Engineering,40.25
Zachary Ellison,301,6.52,Yes,No,Yes,No,Yes,Yes,21,Civil Engineering,41.96
Brian Graham,44,8.94,Yes,No,Yes,No,No,Yes,19,Computer Science,52.43
Tonya Brown,488,1.41,Yes,Yes,Yes,No,Yes,Yes,18,Computer Science,10.89
Bryan Ward,284,6,Yes,No,Yes,No,Yes,No,18,Computer Science,29.32
Russell Carter,65,9.59,No,Yes,No,Yes,No,No,23,Mechanical Engineering,12.33
Kaitlyn Gray,217,2.28,Yes,Yes,No,Yes,Yes,No,23,Electrical Engineering,11.98
Sandy Smith,162,4.36,Yes,Yes,Yes,No,Yes,Yes,18,Mechanical Engineering,10.53
Jeanette Moore,414,2.67,Yes,Yes,No,Yes,Yes,No,22,Mechanical Engineering,12.42
Brian Carr,139,7.69,Yes,No,No,Yes,Yes,No,24,Electrical Engineering,41.38
Melanie Murphy,80,1.46,Yes,Yes,No,No,Yes,Yes,19,Electrical Engineering,12.29
George Walker,433,2.81,Yes,No,No,Yes,No,No,21,Electrical Engineering,8.92
Erika Dixon,266,2.47,No,No,Yes,Yes,Yes,Yes,25,Computer Science,3.04
Monica Allen,110,3.06,No,Yes,Yes,No,Yes,Yes,19,Electrical Engineering,5.83
Donna Sanders,310,3.68,No,Yes,Yes,Yes,Yes,No,19,Mechanical Engineering,6.86
Raymond Waters,281,1.72,No,No,Yes,Yes,No,No,25,Civil Engineering,2.99
Cynthia Higgins,65,3.66,No,Yes,Yes,Yes,No,Yes,22,Electrical Engineering,6.3
Lisa Chen,204,7.49,Yes,Yes,No,No,Yes,Yes,20,Civil Engineering,43.22
Kristopher Robinson,139,6.46,Yes,Yes,No,No,No,Yes,22,Mechanical Engineering,28.43
Joshua Oliver,126,7.61,No,Yes,No,,No,No,19,Electrical Engineering,50
Kari Gomez,298,6.31,Yes,No,No,,Yes,No,24,Mechanical Engineering,49.48
Jonathan Rodriguez,449,7.41,No,Yes,Yes,No,No,Yes,21,Computer Science,33.44
Robin Brown,47,2.27,Yes,No,Yes,No,No,Yes,20,Mechanical Engineering,8.51
Cynthia Hanson,328,5.91,No,Yes,No,No,No,No,21,Civil Engineering,36.08
Craig Rodriguez,47,4.7,Yes,No,Yes,Yes,Yes,Yes,20,Civil Engineering,9.1
Katie Rangel,434,5.32,Yes,No,No,Yes,No,Yes,21,Civil Engineering,41.39
Daniel Gutierrez,433,0.5,Yes,No,No,Yes,Yes,Yes,20,Mechanical Engineering,9.63
Jesse Matthews,230,4.43,No,Yes,Yes,Yes,No,No,19,Computer Science,6.75
Christina Bruce,437,8.04,No,Yes,Yes,No,Yes,No,21,Computer Science,16.87
Rachel Holden,434,7.26,Yes,No,No,No,Yes,No,22,Civil Engineering,36.64
Chad Carroll,45,3.04,No,No,Yes,Yes,Yes,No,23,Electrical Engineering,4.83
Deborah Thomas,180,3.71,No,No,Yes,Yes,No,Yes,22,Computer Science,3.27
Vicki Perez,12,2.92,Yes,Yes,No,Yes,No,No,19,Computer Science,10.98
Megan Lewis,420,8.08,No,No,No,Yes,Yes,No,21,Mechanical Engineering,32.21
Daniel Davis,440,0.6,No,Yes,Yes,No,No,Yes,19,Electrical Engineering,6.25
Leah Torres,245,2.13,No,Yes,Yes,Yes,Yes,No,19,Electrical Engineering,5.14
Robert House,479,6.59,No,No,No,Yes,No,Yes,18,Civil Engineering,33.57
Richard Lynch,369,6.22,Yes,Yes,Yes,Yes,Yes,Yes,24,Computer Science,33.46
Aaron Jones,321,9.05,Yes,No,Yes,No,Yes,No,23,Mechanical Engineering,14.99
Christopher Morgan,290,2.51,Yes,Yes,No,Yes,No,No,20,Civil Engineering,12.55
Brittany Jones,121,1.72,Yes,No,No,Yes,No,Yes,21,Computer Science,9.55
James Thomas,223,6.89,No,No,No,Yes,No,Yes,21,Electrical Engineering,23.69
Erin Young,9,4.3,Yes,Yes,Yes,No,Yes,No,18,Computer Science,10.61
Michelle Brown,292,9.38,Yes,No,No,Yes,Yes,No,18,Electrical Engineering,29.65
Shawn Willis,194,7.14,No,Yes,No,Yes,No,No,19,Electrical Engineering,22.62
Kevin Ingram,99,0.15,,Yes,No,Yes,Yes,Yes,22,Civil Engineering,12.05
Jeffrey Mathews,340,0.56,No,No,No,Yes,No,No,24,Computer Science,4.19
Richard Hill,32,1.02,No,No,Yes,Yes,No,Yes,23,Computer Science,3.66
Carlos Garcia,33,7.33,Yes,Yes,No,Yes,Yes,No,24,Mechanical Engineering,31.23
Ms. Brittney Collins,94,1.27,Yes,No,Yes,No,Yes,Yes,19,Computer Science,9.56
Ruth Taylor DDS,268,4.53,No,No,No,Yes,Yes,Yes,24,Civil Engineering,4.86
Ryan Ballard,69,4.58,Yes,Yes,Yes,No,No,Yes,19,Computer Science,10.83
David Spencer,272,3.44,Yes,Yes,Yes,Yes,Yes,Yes,21,Civil Engineering,11.25
Alyssa Gonzalez,263,3.54,No,No,No,Yes,No,Yes,24,Civil Engineering,3.65
Amanda Pittman,59,7.39,Yes,No,No,No,No,Yes,20,Civil Engineering,51.93
Dr. Tammy Robertson,58,8.07,No,No,Yes,,No,Yes,19,Mechanical Engineering,12.5
Allen Vaughan,78,5.39,Yes,No,Yes,Yes,Yes,No,23,Computer Science,39.9
Gregory Horton,475,2.87,No,No,No,No,No,No,25,Mechanical Engineering,4.03
Ronald Li,161,1.1,Yes,No,No,Yes,Yes,No,22,Electrical Engineering,10.81
Joshua Stephens,342,3.9,Yes,Yes,Yes,Yes,Yes,No,22,Computer Science,12.24
David Nelson,380,2.58,Yes,Yes,Yes,Yes,Yes,Yes,19,Civil Engineering,10.51
Joseph Carlson,368,3.41,No,No,Yes,No,No,No,23,Mechanical Engineering,2.53
Veronica White,95,4.36,No,Yes,No,Yes,No,No,20,Mechanical Engineering,5.63
Robert Franco,194,8.65,Yes,No,Yes,No,No,Yes,21,Electrical Engineering,40.21
Brian Olson,70,7.9,No,No,No,Yes,No,No,23,Civil Engineering,38.89
Sabrina Sharp,486,2.19,,Yes,Yes,No,Yes,No,25,Mechanical Engineering,6.22
Angela Johnson,122,9.97,No,Yes,No,Yes,Yes,Yes,23,Civil Engineering,12.55
Matthew Jones,93,8.19,No,No,No,Yes,Yes,Yes,22,Computer Science,31.7
Susan Kennedy,462,6.37,Yes,Yes,No,No,No,Yes,25,Computer Science,25.74
Kimberly Guerra,491,1.64,Yes,Yes,No,Yes,Yes,No,18,Mechanical Engineering,12.6
Erik Armstrong,361,7.94,No,No,No,No,No,No,24,Mechanical Engineering,17.11
Ms. Karen Bennett MD,251,9.68,Yes,Yes,Yes,No,No,Yes,23,Civil Engineering,46.39
Kendra Williams,469,9.37,No,Yes,No,Yes,Yes,No,18,Electrical Engineering,41.91
David Robinson,194,3,No,No,No,Yes,No,Yes,25,Computer Science,3.12
Kimberly Reid,40,7.33,No,No,No,Yes,No,No,18,Computer Science,39.06
Brett Bishop,197,1.39,No,Yes,Yes,No,No,No,25,Mechanical Engineering,5.21
Laurie Love,161,9.69,Yes,No,Yes,Yes,No,Yes,23,Civil Engineering,33.76
Andrew Scott,376,1.98,No,No,No,No,Yes,Yes,18,Mechanical Engineering,3.62
Nathan Ellis,370,7.82,Yes,No,No,Yes,Yes,No,25,Computer Science,52.1
Michael Wood,212,9.62,Yes,Yes,No,Yes,No,Yes,18,Civil Engineering,26.43
James Mejia,260,3.83,No,No,Yes,Yes,No,No,23,Civil Engineering,4.33
Douglas Taylor,244,4.05,Yes,No,No,No,No,Yes,19,Civil Engineering,10.87
Robin Gordon,24,4.89,No,Yes,No,Yes,No,No,24,Computer Science,6.54
Robert Underwood,381,2.71,No,Yes,Yes,No,No,No,20,Civil Engineering,6.71
Kari Hawkins,189,1.73,Yes,No,Yes,No,No,No,25,Electrical Engineering,8.96
Carolyn Garza,360,9.59,No,No,Yes,No,Yes,No,25,Mechanical Engineering,9.52
Lisa Johnson,137,5.84,Yes,Yes,Yes,No,Yes,Yes,22,Computer Science,14.65
Daniel Soto,126,8.23,Yes,Yes,Yes,Yes,Yes,No,22,Computer Science,43.1
Olivia Mcdonald,359,3.51,Yes,No,No,Yes,Yes,No,18,Computer Science,10.05
Robert Torres,393,7.66,Yes,No,Yes,Yes,Yes,Yes,18,Computer Science,54.75
Jeremiah Smith,401,0.92,No,No,No,Yes,No,Yes,21,Mechanical Engineering,4.86
Crystal Wilson,40,9.93,No,Yes,,No,Yes,No,20,Mechanical Engineering,26.82
Ricky King,118,6.06,No,No,No,No,Yes,Yes,21,Computer Science,30.15
Jeremy Castro,407,3.71,No,Yes,Yes,Yes,No,Yes,21,Mechanical Engineering,6.77
Christina Thomas,140,2.63,No,Yes,Yes,No,Yes,No,24,Mechanical Engineering,6.85
Erika Stanley,481,0.76,Yes,Yes,No,Yes,No,No,23,Mechanical Engineering,10.66
Anita Jones,155,9.67,No,No,No,Yes,Yes,Yes,22,Computer Science,32.6
Noah Lang,229,4.48,No,Yes,No,Yes,No,Yes,18,Civil Engineering,4.88
Brian Howell,257,8.47,No,Yes,No,Yes,Yes,Yes,25,Mechanical Engineering,30
Lisa Hansen,308,2.06,Yes,Yes,Yes,No,Yes,Yes,24,Civil Engineering,11.26
Tamara Davidson,1,8.33,No,No,No,No,Yes,No,24,Electrical Engineering,49.69
Mrs. Melissa Long,485,7.48,No,No,No,Yes,No,No,21,Computer Science,13.15
Tanner Kane,208,6.38,No,Yes,,Yes,Yes,Yes,18,Computer Science,29.02
Timothy Watson,269,8.05,No,No,No,Yes,Yes,Yes,18,Computer Science,46.11
Kaitlyn Ford,337,6.26,No,No,No,No,No,No,22,Electrical Engineering,20.87
Ricardo Carter,164,8.64,Yes,No,No,Yes,No,No,23,Mechanical Engineering,28.07
Donna Dodson,327,3.07,No,No,No,Yes,Yes,Yes,21,Mechanical Engineering,3.41
Jennifer Watts,277,5.5,Yes,Yes,Yes,,No,No,22,Electrical Engineering,21.1
Edward West,479,0.46,No,No,No,No,No,No,19,Civil Engineering,2.7
Eugene Garner,214,4.09,No,Yes,Yes,Yes,Yes,No,18,Electrical Engineering,6.34
Martin Cherry,139,9.99,Yes,No,Yes,Yes,Yes,Yes,18,Electrical Engineering,30.73
Rebecca Farmer,194,3.08,Yes,Yes,Yes,No,Yes,Yes,21,Mechanical Engineering,10.99
Calvin Lane,83,0.61,No,Yes,No,Yes,No,Yes,18,Electrical Engineering,5.26
John Allen,163,6.86,Yes,Yes,Yes,No,Yes,Yes,22,Mechanical Engineering,42.03
Linda Johnson,290,3.99,Yes,Yes,Yes,Yes,Yes,No,18,Electrical Engineering,12.71
Bradley Burns,150,3.78,Yes,No,Yes,Yes,Yes,Yes,21,Mechanical Engineering,9.9
Connie Mcdonald,410,1.73,No,Yes,Yes,Yes,Yes,Yes,20,Electrical Engineering,6.8
Kimberly Stevens,52,1.86,No,Yes,No,Yes,Yes,No,20,Electrical Engineering,5.31
Michael Knight,163,5.06,Yes,Yes,No,No,Yes,Yes,18,Mechanical Engineering,36.14
Billy Valdez,142,8.32,No,No,Yes,No,Yes,Yes,23,Computer Science,7.78
Bailey Caldwell,40,4.58,No,No,,No,No,Yes,18,Electrical Engineering,4.53
Mario Harris,320,1.16,No,No,Yes,No,Yes,No,24,Computer Science,5
Erik Wright PhD,410,9.6,No,Yes,No,Yes,Yes,No,22,Computer Science,15.06
Michelle Ward,246,6.45,Yes,Yes,Yes,Yes,Yes,No,18,Computer Science,23.08
Nathaniel Collins,140,7.01,Yes,Yes,Yes,Yes,Yes,No,20,Mechanical Engineering,32.54
Heather Davis,114,5.26,No,No,No,No,Yes,Yes,18,Mechanical Engineering,41.88
Shelley Schaefer,31,5.37,No,Yes,Yes,No,No,No,21,Electrical Engineering,38.71
Caitlin Gates,434,8.29,Yes,No,Yes,Yes,Yes,No,25,Computer Science,42.86
Miss Brittany Perez,381,9.86,No,No,Yes,Yes,Yes,No,22,Civil Engineering,18.8
Lori Trevino,498,9.43,Yes,Yes,No,No,,Yes,24,Electrical Engineering,48.82
John Graham,86,5.21,Yes,No,Yes,No,No,Yes,21,Computer Science,22.11
Christine Houston,105,5.66,Yes,No,Yes,Yes,Yes,Yes,19,Electrical Engineering,44.65
Brianna Perez,458,7.77,No,Yes,No,Yes,Yes,No,22,Computer Science,19.6
Elizabeth Richardson,337,1.91,Yes,No,Yes,Yes,No,No,22,Electrical Engineering,9.09
Kim Johnson,444,3.28,Yes,Yes,Yes,Yes,Yes,No,18,Mechanical Engineering,10.71
Casey Brown,34,9.77,No,Yes,No,Yes,Yes,Yes,18,Computer Science,35.97
Anthony Rodriguez,218,0.61,No,No,Yes,No,No,No,18,Mechanical Engineering,4.96
Jean Reed,467,8.07,Yes,Yes,No,No,No,No,24,Electrical Engineering,50.4
Jessica Miller,128,5.15,Yes,No,No,Yes,Yes,Yes,25,Mechanical Engineering,21.53
Brian Jackson,217,9.57,No,No,Yes,No,No,Yes,21,Computer Science,19.25
Daniel Wilkins,165,2.88,No,No,Yes,Yes,Yes,Yes,18,Mechanical Engineering,4.57
Willie Downs DVM,398,0.14,Yes,No,Yes,Yes,No,Yes,20,Civil Engineering,8.74
Brian Terry,255,4.35,No,Yes,No,Yes,No,No,20,Electrical Engineering,6.84
Gloria Black,436,8.29,No,Yes,Yes,No,Yes,No,24,Mechanical Engineering,7.65
Sean Lyons,72,2.77,No,No,No,No,No,No,23,Mechanical Engineering,2.72
Ricardo Hall,75,8.58,Yes,Yes,Yes,No,No,No,23,Mechanical Engineering,22.8
John Alvarez,117,3.79,Yes,Yes,Yes,No,No,Yes,22,Mechanical Engineering,11.04
Casey Roman,281,0.13,No,Yes,Yes,No,No,No,24,Electrical Engineering,4.88
Robert Pineda,137,8.49,No,Yes,No,No,No,Yes,22,Electrical Engineering,12.39
Billy Mcclure,345,6.24,No,No,Yes,No,Yes,Yes,19,Mechanical Engineering,48.24
Susan Meyers,338,5.82,Yes,Yes,No,No,Yes,No,18,Mechanical Engineering,45.69
Dakota Waters,252,0.04,Yes,No,Yes,No,No,Yes,20,Computer Science,9.11
Zachary Hahn,132,3.51,Yes,Yes,Yes,No,Yes,No,21,Civil Engineering,12.3
Charles Ward,150,5.05,Yes,No,No,No,Yes,Yes,24,Computer Science,17.69
Debra Garcia,342,7.72,No,Yes,No,No,No,Yes,21,Electrical Engineering,18.6
Nathan Jones,369,5.69,Yes,No,Yes,,Yes,Yes,19,Computer Science,23.73
Andrea Harrison,172,6.83,Yes,No,Yes,Yes,Yes,Yes,25,Civil Engineering,16.74
Kristen Davis,224,6.6,No,Yes,Yes,Yes,No,No,19,Computer Science,46.83
Samantha Moon,78,8.01,Yes,No,Yes,No,Yes,No,19,Mechanical Engineering,13.45
Ricky Galvan,290,1.43,No,No,Yes,Yes,No,Yes,22,Civil Engineering,3.19
Austin Young,66,1.42,No,No,No,No,No,No,19,Mechanical Engineering,3.73
Donna Lee,171,1.52,No,No,No,No,Yes,No,18,Civil Engineering,3.75
Kim Watson,327,9.23,No,No,Yes,No,Yes,No,25,Computer Science,7.23
Ms. Kelsey Reynolds,350,5.98,Yes,Yes,No,Yes,No,No,25,Computer Science,45.3
Natalie Hernandez,349,3.77,No,Yes,Yes,Yes,Yes,Yes,20,Mechanical Engineering,5.55
Carrie English,201,7.62,No,Yes,No,Yes,No,No,23,Computer Science,31.35
Kevin Vang,92,5.45,Yes,No,Yes,Yes,Yes,Yes,23,Computer Science,35.77
Mary Williams,109,5.93,No,No,No,Yes,No,Yes,20,Civil Engineering,14.39
Garrett Edwards,392,3.2,Yes,No,No,No,No,No,19,Civil Engineering,9.99
Nicole Robles,263,1.37,Yes,No,No,,No,No,20,Electrical Engineering,10.9
Stacey Fry,107,5.18,No,Yes,No,,No,No,20,Electrical Engineering,30.61
Richard Jackson,173,7.95,Yes,Yes,Yes,No,Yes,Yes,22,Mechanical Engineering,48.98
Audrey Bryant,114,4.41,Yes,No,Yes,Yes,Yes,Yes,25,Computer Science,9.52
Miss Dawn Barker,112,4.16,Yes,No,No,Yes,Yes,No,18,Electrical Engineering,8.91
Warren Brooks,318,9.24,No,No,No,No,No,Yes,25,Civil Engineering,25.63
Catherine Dunn,149,1.72,No,Yes,Yes,No,No,No,23,Electrical Engineering,5.72
Renee Taylor,35,4.13,No,No,No,No,No,Yes,19,Electrical Engineering,4.85
Stephanie Matthews,338,2.41,Yes,Yes,No,Yes,Yes,No,20,Mechanical Engineering,11.84
Lynn Miller,449,2.96,No,No,No,No,Yes,No,19,Electrical Engineering,3.18
Roger Soto,92,2.38,No,No,Yes,Yes,Yes,No,21,Electrical Engineering,4.66
Felicia Phillips,293,8.08,Yes,Yes,No,,Yes,Yes,23,Electrical Engineering,57.15
Alejandro Thomas,450,0.06,Yes,No,No,Yes,Yes,No,24,Electrical Engineering,9.57
Michael Robinson,449,8.7,No,No,,No,No,Yes,20,Mechanical Engineering,35.97
Susan Bauer,7,8.2,Yes,Yes,Yes,Yes,Yes,No,19,Electrical Engineering,37.84
Tracy Hood,64,5.28,Yes,Yes,Yes,Yes,No,Yes,19,Civil Engineering,27.37
Jacqueline Cooper,476,7.22,Yes,No,Yes,,Yes,No,25,Computer Science,18.25
Jennifer Ford,186,4.43,No,Yes,No,Yes,Yes,No,19,Mechanical Engineering,6.26
Samuel Wallace,491,5.77,Yes,No,No,,No,Yes,24,Electrical Engineering,24.3
Rebecca Parker,192,8.97,Yes,Yes,Yes,No,Yes,Yes,25,Mechanical Engineering,13.29
Samuel Bernard,458,0.5,No,Yes,No,Yes,Yes,Yes,23,Electrical Engineering,6.36
Matthew Colon,38,5.45,Yes,No,No,No,Yes,Yes,24,Mechanical Engineering,14.46
Andrew Taylor,165,1.01,Yes,No,No,No,Yes,No,24,Mechanical Engineering,10.82
Devin Young,136,5.54,Yes,Yes,No,Yes,Yes,No,19,Civil Engineering,31.09
Jonathan Weaver,390,2.11,Yes,No,No,No,Yes,Yes,22,Mechanical Engineering,9.73
James Garcia,246,5.52,No,No,Yes,No,No,Yes,25,Civil Engineering,37.1
Michael Mason,127,2.97,No,No,Yes,No,Yes,No,20,Computer Science,4.39
Dr. David Lopez,28,7.74,Yes,Yes,No,Yes,Yes,Yes,24,Computer Science,22.45
Kristin Gregory,64,7.66,No,No,Yes,Yes,No,Yes,22,Computer Science,13.01
Mrs. Victoria Medina MD,305,4.92,No,Yes,No,Yes,No,Yes,23,Electrical Engineering,6.83
Douglas Rodriguez DDS,384,9.67,No,Yes,Yes,No,No,Yes,23,Computer Science,33.87
Danny Rivera,41,8.16,No,No,Yes,Yes,No,No,20,Computer Science,20.24
Lori Goodwin,460,5.77,Yes,No,No,No,No,No,18,Civil Engineering,27.97
Angela Jarvis,482,4.11,No,Yes,Yes,No,No,Yes,19,Civil Engineering,5.81
Matthew Garrison,146,7.15,No,No,No,Yes,No,No,23,Computer Science,12.86
David Walker,358,0.29,No,Yes,No,No,Yes,Yes,20,Electrical Engineering,6.63
Jessica Foster,2,5.85,No,No,No,Yes,No,No,21,Civil Engineering,10.68
Eric Robinson,239,1.37,No,Yes,No,Yes,Yes,No,19,Electrical Engineering,4.89
Austin Wood,219,1.68,No,Yes,No,Yes,No,Yes,18,Electrical Engineering,5.55
Christina Lynn,183,2.49,No,No,Yes,Yes,No,No,25,Computer Science,3.24
Craig Rivera,490,4.12,Yes,Yes,Yes,Yes,No,No,20,Electrical Engineering,11.13
Gary Wiley,41,4.92,Yes,Yes,No,No,No,Yes,22,Computer Science,11.3
William Velasquez,321,7.73,No,No,No,Yes,No,No,19,Mechanical Engineering,28.26
Kelly Holmes,108,8.75,Yes,No,Yes,No,No,No,23,Computer Science,20.29
Kelly Evans,8,5.74,Yes,Yes,Yes,Yes,No,Yes,25,Mechanical Engineering,42.29
Thomas Scott,437,0.6,No,Yes,No,No,Yes,No,23,Mechanical Engineering,6.01
Gregory Porter,80,3.53,No,No,No,Yes,No,Yes,19,Civil Engineering,3.41
Rhonda Stout,382,8.06,Yes,Yes,Yes,,Yes,Yes,25,Computer Science,25.22
Jackson Lopez,470,4.93,Yes,Yes,Yes,No,Yes,No,21,Electrical Engineering,10.54
Thomas Smith,325,9.06,Yes,Yes,No,No,No,Yes,20,Mechanical Engineering,26.78
Kyle Brewer,243,9.31,No,No,No,,No,No,22,Mechanical Engineering,37.27
Lisa Mcbride,365,1.08,Yes,No,Yes,No,No,Yes,23,Electrical Engineering,8.81
Kimberly Bell,448,9.99,No,Yes,No,No,No,Yes,23,Mechanical Engineering,50.67
Wendy Fox,347,0.93,No,Yes,No,No,Yes,No,18,Civil Engineering,5.92
Angela Rogers,353,8.15,Yes,No,Yes,Yes,No,No,19,Civil Engineering,23.23
Pamela Sosa,420,9.96,Yes,No,No,No,Yes,No,23,Computer Science,47.12
Sarah Powers,136,9.3,No,Yes,No,Yes,Yes,No,23,Civil Engineering,47.25
Hannah Sosa,435,4.92,Yes,Yes,No,No,Yes,No,23,Computer Science,10.83
Sean Scott,99,1.15,Yes,No,No,Yes,No,Yes,22,Electrical Engineering,9.22
Danny Nelson,457,7.99,Yes,Yes,No,No,No,Yes,18,Mechanical Engineering,28.7
Mrs. Monica Torres,496,2.26,Yes,Yes,Yes,Yes,No,Yes,19,Electrical Engineering,10.92
Jack Baker,357,4.58,,Yes,Yes,Yes,No,Yes,22,Civil Engineering,11.65
Larry Griffin,495,2.7,Yes,No,No,No,No,Yes,22,Electrical Engineering,9.97
Rhonda Reed,17,7.37,Yes,No,Yes,No,Yes,No,19,Computer Science,32.78
Kevin Rivera,39,2.44,,No,No,No,Yes,Yes,24,Electrical Engineering,10.3
Yolanda Sosa,62,7.46,No,Yes,No,Yes,Yes,No,25,Civil Engineering,42.23
Alexis Mcconnell DVM,221,4.31,No,Yes,Yes,Yes,No,No,24,Computer Science,6.11
